;;;;;;;;;;;;Variables WORLD CLIM;;;;;;;;;;;;;;;;;;
code;base;gbifID;year;dateIdentified;espece;country;lon;lat;posi;studied;altitude;bio_1;bio_2;bio_3;bio_4;bio_5;bio_6;bio_7;bio_8;bio_9;bio_10;bio_11;bio_12;bio_13;bio_14;bio_15;bio_16;bio_17;bio_18;bio_19
gbif627;627;998745601;2013;2013-05-17T22:00:00.000+0000;Convolvulus lanuginosus;France;5,64413;43,25041;p;n;354;128;84;34;5551;261;18;243;98;201;201;60;697;89;17;33;248;92;92;201
bdd2375;cl1895;6005;NA;20050515;Convolvulus lanuginosus;France;5,7264;43,24058;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2355;cl1877;6005;NA;20061022;Convolvulus lanuginosus;France;5,807;43,24003;p;n;379;129;83;35;5450;258;21;237;101;200;200;62;720;90;16;34;259;92;92;212
bdd2746;cl2228;6005;NA;20070702;Convolvulus lanuginosus;France;5,80879;43,23879;p;n;374;129;83;34;5425;259;21;238;101;199;199;62;720;90;16;34;259;91;91;213
bdd2724;cl2208;6005;NA;20070626;Convolvulus lanuginosus;France;5,72909;43,2382;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2149;cl1691;6005;NA;20050427;Convolvulus lanuginosus;France;5,72878;43,23807;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2146;cl1689;6005;NA;20050427;Convolvulus lanuginosus;France;5,73029;43,23736;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2617;cl2111;6005;NA;20070626;Convolvulus lanuginosus;France;5,7309;43,23735;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2246;cl1779;6005;NA;20050427;Convolvulus lanuginosus;France;5,72619;43,237;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2673;cl2162;6005;NA;20070626;Convolvulus lanuginosus;France;5,73076;43,23699;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2612;cl2107;6005;NA;20070626;Convolvulus lanuginosus;France;5,73059;43,23609;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2630;cl2123;6005;NA;20070626;Convolvulus lanuginosus;France;5,73081;43,23537;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2710;cl2196;6005;NA;20070626;Convolvulus lanuginosus;France;5,73042;43,23493;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2150;cl1692;6005;NA;20050427;Convolvulus lanuginosus;France;5,73035;43,23486;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2639;cl2131;6005;NA;20070626;Convolvulus lanuginosus;France;5,73399;43,23484;p;n;367;129;83;34;5495;259;20;239;100;200;200;61;709;89;16;34;254;91;91;208
bdd2372;cl1892;6005;NA;20061020;Convolvulus lanuginosus;France;5,81436;43,23471;p;n;374;129;83;34;5425;259;21;238;101;199;199;62;720;90;16;34;259;91;91;213
bdd2198;cl1735;6005;NA;20080512;Convolvulus lanuginosus;France;5,76119;43,2345;p;n;259;135;84;35;5464;265;26;239;106;206;206;67;691;88;14;36;251;84;84;205
bdd2196;cl1733;6005;NA;20050427;Convolvulus lanuginosus;France;5,72775;43,23425;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2711;cl2197;6005;NA;20070626;Convolvulus lanuginosus;France;5,72975;43,23377;p;n;378;128;83;34;5518;259;19;240;99;200;200;60;712;90;17;34;255;92;92;208
bdd2193;cl1730;6005;NA;20080512;Convolvulus lanuginosus;France;5,76321;43,23315;p;n;165;140;84;35;5443;270;32;238;111;211;211;73;674;87;13;37;248;79;79;201
bdd2721;cl2205;6005;NA;20070626;Convolvulus lanuginosus;France;5,73416;43,23313;p;n;233;136;84;35;5504;267;27;240;107;208;208;69;683;88;14;37;249;83;83;202
bdd2750;cl2231;6005;NA;20070626;Convolvulus lanuginosus;France;5,7292;43,23243;p;n;305;132;83;34;5507;263;23;240;103;204;204;64;696;89;15;35;252;86;86;205
bdd2733;cl2216;6005;NA;20070626;Convolvulus lanuginosus;France;5,73385;43,23178;p;n;233;136;84;35;5504;267;27;240;107;208;208;69;683;88;14;37;249;83;83;202
bdd2666;cl2156;6005;NA;20070626;Convolvulus lanuginosus;France;5,72929;43,23162;p;n;305;132;83;34;5507;263;23;240;103;204;204;64;696;89;15;35;252;86;86;205
bdd2647;cl2139;6005;NA;20070626;Convolvulus lanuginosus;France;5,72987;43,23089;p;n;305;132;83;34;5507;263;23;240;103;204;204;64;696;89;15;35;252;86;86;205
bdd2616;cl2110;6005;NA;20070626;Convolvulus lanuginosus;France;5,73404;43,23043;p;n;233;136;84;35;5504;267;27;240;107;208;208;69;683;88;14;37;249;83;83;202
bdd2739;cl2221;6005;NA;20070626;Convolvulus lanuginosus;France;5,72932;43,22964;p;n;305;132;83;34;5507;263;23;240;103;204;204;64;696;89;15;35;252;86;86;205
bdd2634;cl2127;6005;NA;20070626;Convolvulus lanuginosus;France;5,73274;43,22893;p;n;305;132;83;34;5507;263;23;240;103;204;204;64;696;89;15;35;252;86;86;205
bdd2740;cl2222;6005;NA;20070626;Convolvulus lanuginosus;France;5,73384;43,22872;p;n;233;136;84;35;5504;267;27;240;107;208;208;69;683;88;14;37;249;83;83;202
bdd2232;cl1766;6005;NA;20081207;Convolvulus lanuginosus;France;5,69;43,2282;p;n;397;127;83;34;5501;259;18;241;98;198;198;59;709;90;17;34;253;92;92;206
bdd2664;cl2154;6005;NA;20070626;Convolvulus lanuginosus;France;5,7343;43,22799;p;n;233;136;84;35;5504;267;27;240;107;208;208;69;683;88;14;37;249;83;83;202
bdd2665;cl2155;6005;NA;20070626;Convolvulus lanuginosus;France;5,73045;43,22745;p;n;305;132;83;34;5507;263;23;240;103;204;204;64;696;89;15;35;252;86;86;205
bdd2145;cl1688;6005;NA;20110502;Convolvulus lanuginosus;France;5,638;43,22699;p;n;286;132;85;34;5576;265;22;243;102;205;205;63;681;88;15;35;245;86;86;198
bdd2230;cl1764;6005;NA;20081207;Convolvulus lanuginosus;France;5,69496;43,22554;p;n;306;132;84;34;5513;264;23;241;102;204;204;64;689;88;15;35;249;86;86;202
bdd2337;cl1860;6005;NA;19570000;Convolvulus lanuginosus;France;5,76635;43,22503;p;n;165;140;84;35;5443;270;32;238;111;211;211;73;674;87;13;37;248;79;79;201
bdd2371;cl1891;6005;NA;20100218;Convolvulus lanuginosus;France;5,69631;43,22444;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2166;cl1706;6005;NA;20081207;Convolvulus lanuginosus;France;5,6993;43,22422;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2565;cl2065;6005;NA;20070530;Convolvulus lanuginosus;France;5,61162;43,2241;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2071;cl1620;6005;NA;0;Convolvulus lanuginosus;France;5,57995;43,22392;p;n;216;135;86;34;5600;270;24;246;105;209;209;66;658;87;14;36;239;81;81;191
bdd2468;cl1979;6005;NA;20070530;Convolvulus lanuginosus;France;5,6121;43,22391;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2223;cl1758;6005;NA;20081207;Convolvulus lanuginosus;France;5,69695;43,2239;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2523;cl2027;6005;NA;20070530;Convolvulus lanuginosus;France;5,61246;43,22382;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2485;cl1994;6005;NA;20070530;Convolvulus lanuginosus;France;5,61293;43,22309;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2545;cl2047;6005;NA;20070525;Convolvulus lanuginosus;France;5,61329;43,2229;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2510;cl2015;6005;NA;20070525;Convolvulus lanuginosus;France;5,61623;43,22265;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2549;cl2050;6005;NA;20070525;Convolvulus lanuginosus;France;5,61623;43,22256;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2221;cl1756;6005;NA;20070527;Convolvulus lanuginosus;France;5,73579;43,22253;p;n;216;137;84;35;5479;267;29;238;107;209;209;70;680;88;14;37;249;81;81;202
bdd2544;cl2046;6005;NA;20070525;Convolvulus lanuginosus;France;5,61672;43,22246;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2532;cl2035;6005;NA;20070525;Convolvulus lanuginosus;France;5,61708;43,22245;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2174;cl1713;6005;NA;20081207;Convolvulus lanuginosus;France;5,70027;43,22242;p;n;212;137;84;35;5486;268;28;240;107;208;208;69;673;87;14;36;246;81;81;199
gbif813;813;998745600;2013;2013-05-31T22:00:00.000+0000;Convolvulus lanuginosus;France;5,62321;43,22236;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2533;cl2036;6005;NA;20070525;Convolvulus lanuginosus;France;5,61472;43,22187;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2217;cl1752;6005;NA;20060527;Convolvulus lanuginosus;France;5,73555;43,22186;p;n;216;137;84;35;5479;267;29;238;107;209;209;70;680;88;14;37;249;81;81;202
bdd2463;cl1974;6005;NA;20070525;Convolvulus lanuginosus;France;5,61571;43,22185;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2599;cl2096;6005;NA;20070525;Convolvulus lanuginosus;France;5,61804;43,22171;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2540;cl2042;6005;NA;20070525;Convolvulus lanuginosus;France;5,61828;43,22152;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2550;cl2051;6005;NA;20070525;Convolvulus lanuginosus;France;5,61594;43,22148;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2583;cl2081;6005;NA;20070530;Convolvulus lanuginosus;France;5,65521;43,22148;p;n;299;132;84;34;5525;264;22;242;102;204;204;64;685;88;15;35;247;86;86;200
bdd2484;cl1993;6005;NA;20070525;Convolvulus lanuginosus;France;5,61716;43,22137;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2450;cl1962;6005;NA;20070525;Convolvulus lanuginosus;France;5,61605;43,2213;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2521;cl2025;6005;NA;20070525;Convolvulus lanuginosus;France;5,61839;43,22125;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2464;cl1975;6005;NA;20070525;Convolvulus lanuginosus;France;5,61642;43,2212;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2473;cl1983;6005;NA;20070525;Convolvulus lanuginosus;France;5,61764;43,22109;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2457;cl1969;6005;NA;20070525;Convolvulus lanuginosus;France;5,61936;43,22105;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2455;cl1967;6005;NA;20070525;Convolvulus lanuginosus;France;5,61776;43,22099;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2534;cl2037;6005;NA;20070525;Convolvulus lanuginosus;France;5,61431;43,22098;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2598;cl2095;6005;NA;20070525;Convolvulus lanuginosus;France;5,61825;43,22098;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2535;cl2038;6005;NA;20070525;Convolvulus lanuginosus;France;5,618;43,2209;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2490;cl1999;6005;NA;20070530;Convolvulus lanuginosus;France;5,65555;43,22084;p;n;299;132;84;34;5525;264;22;242;102;204;204;64;685;88;15;35;247;86;86;200
bdd2547;cl2049;6005;NA;20070525;Convolvulus lanuginosus;France;5,61874;43,22079;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2456;cl1968;6005;NA;20070525;Convolvulus lanuginosus;France;5,61911;43,22078;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2527;cl2030;6005;NA;20070525;Convolvulus lanuginosus;France;5,61516;43,22069;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2454;cl1966;6005;NA;20070525;Convolvulus lanuginosus;France;5,61405;43,22063;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2727;cl2210;6005;NA;20070626;Convolvulus lanuginosus;France;5,71144;43,22061;p;n;179;139;84;34;5507;271;30;241;110;211;211;71;670;87;13;37;246;79;79;199
bdd2202;cl1739;6005;NA;20081207;Convolvulus lanuginosus;France;5,69948;43,2205;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2222;cl1757;6005;NA;20081207;Convolvulus lanuginosus;France;5,69666;43,22045;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2571;cl2070;6005;NA;20070525;Convolvulus lanuginosus;France;5,61355;43,22037;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2575;cl2074;6005;NA;20070525;Convolvulus lanuginosus;France;5,6181;43,22026;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2508;cl2013;6005;NA;20070525;Convolvulus lanuginosus;France;5,61588;43,22014;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2188;cl1726;6005;NA;20081207;Convolvulus lanuginosus;France;5,69145;43,22013;p;n;293;133;84;34;5523;264;23;241;103;205;205;65;689;88;15;35;249;86;86;202
bdd2466;cl1977;6005;NA;20070530;Convolvulus lanuginosus;France;5,65564;43,22012;p;n;299;132;84;34;5525;264;22;242;102;204;204;64;685;88;15;35;247;86;86;200
bdd2638;cl2130;6005;NA;20070702;Convolvulus lanuginosus;France;5,73615;43,22002;p;n;216;137;84;35;5479;267;29;238;107;209;209;70;680;88;14;37;249;81;81;202
bdd2741;cl2223;6005;NA;20070626;Convolvulus lanuginosus;France;5,71103;43,21981;p;n;179;139;84;34;5507;271;30;241;110;211;211;71;670;87;13;37;246;79;79;199
bdd2470;cl1980;6005;NA;20070525;Convolvulus lanuginosus;France;5,61303;43,21975;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2600;cl2097;6005;NA;20070525;Convolvulus lanuginosus;France;5,61204;43,21968;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2620;cl2114;6005;NA;20070702;Convolvulus lanuginosus;France;5,7365;43,21956;p;n;216;137;84;35;5479;267;29;238;107;209;209;70;680;88;14;37;249;81;81;202
bdd2201;cl1738;6005;NA;20081207;Convolvulus lanuginosus;France;5,69906;43,21955;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2477;cl1987;6005;NA;20070525;Convolvulus lanuginosus;France;5,61794;43,21946;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2536;cl2039;6005;NA;20070525;Convolvulus lanuginosus;France;5,61103;43,2194;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2522;cl2026;6005;NA;20070525;Convolvulus lanuginosus;France;5,61793;43,21928;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2171;cl1710;6005;NA;20081207;Convolvulus lanuginosus;France;5,7001;43,21916;p;n;212;137;84;35;5486;268;28;240;107;208;208;69;673;87;14;36;246;81;81;199
bdd2568;cl2068;6005;NA;20070525;Convolvulus lanuginosus;France;5,61719;43,21912;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2528;cl2031;6005;NA;20070525;Convolvulus lanuginosus;France;5,61177;43,21897;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2556;cl2057;6005;NA;20070525;Convolvulus lanuginosus;France;5,61767;43,21883;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2199;cl1736;6005;NA;20081207;Convolvulus lanuginosus;France;5,69846;43,21873;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2558;cl2059;6005;NA;20070530;Convolvulus lanuginosus;France;5,6557;43,21868;p;n;299;132;84;34;5525;264;22;242;102;204;204;64;685;88;15;35;247;86;86;200
bdd2189;cl1727;6005;NA;20081207;Convolvulus lanuginosus;France;5,6953;43,21865;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2589;cl2087;6005;NA;20070525;Convolvulus lanuginosus;France;5,61138;43,21862;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2546;cl2048;6005;NA;20070525;Convolvulus lanuginosus;France;5,61741;43,21848;p;n;163;139;86;35;5572;272;27;245;108;212;212;70;651;86;13;37;239;77;77;191
bdd2594;cl2091;6005;NA;20070525;Convolvulus lanuginosus;France;5,61125;43,21844;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2207;cl1743;6005;NA;20081207;Convolvulus lanuginosus;France;5,69676;43,21832;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2503;cl2009;6005;NA;20070525;Convolvulus lanuginosus;France;5,61173;43,21825;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2518;cl2022;6005;NA;20070525;Convolvulus lanuginosus;France;5,61247;43,21823;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2805;cl2281;6005;NA;20070413;Convolvulus lanuginosus;France;5,5924;43,21815;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2472;cl1982;6005;NA;20070525;Convolvulus lanuginosus;France;5,61284;43,21813;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2524;cl2028;6005;NA;20070530;Convolvulus lanuginosus;France;5,6089;43,21813;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2772;cl2251;6005;NA;20070619;Convolvulus lanuginosus;France;5,5972;43,21813;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2683;cl2171;6005;NA;20070626;Convolvulus lanuginosus;France;5,71379;43,21812;p;n;179;139;84;34;5507;271;30;241;110;211;211;71;670;87;13;37;246;79;79;199
bdd2808;cl2284;6005;NA;20070619;Convolvulus lanuginosus;France;5,59782;43,21812;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2383;cl1901;6005;NA;20060427;Convolvulus lanuginosus;France;5,59252;43,21808;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2388;cl1906;6005;NA;20060427;Convolvulus lanuginosus;France;5,59252;43,21806;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2297;cl1824;6005;NA;20070515;Convolvulus lanuginosus;France;5,59277;43,21805;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2506;cl2011;6005;NA;20070525;Convolvulus lanuginosus;France;5,61259;43,21805;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2787;cl2265;6005;NA;20070619;Convolvulus lanuginosus;France;5,59671;43,21805;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2676;cl2165;6005;NA;20070702;Convolvulus lanuginosus;France;5,73816;43,21799;p;n;216;137;84;35;5479;267;29;238;107;209;209;70;680;88;14;37;249;81;81;202
bdd2184;cl1722;6005;NA;20081207;Convolvulus lanuginosus;France;5,69496;43,21788;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2502;cl2008;6005;NA;20070525;Convolvulus lanuginosus;France;5,6127;43,21787;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2780;cl2259;6005;NA;20070413;Convolvulus lanuginosus;France;5,59276;43,21787;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2313;cl1839;6005;NA;20070619;Convolvulus lanuginosus;France;5,59707;43,21786;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2564;cl2064;6005;NA;20070713;Convolvulus lanuginosus;France;5,67019;43,2178;p;n;352;129;83;34;5507;260;20;240;100;201;201;61;696;89;16;34;250;89;89;203
bdd2299;cl1826;6005;NA;20070619;Convolvulus lanuginosus;France;5,59817;43,21775;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2783;cl2261;6005;NA;20070619;Convolvulus lanuginosus;France;5,59805;43,21775;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2566;cl2066;6005;NA;20070530;Convolvulus lanuginosus;France;5,65345;43,21774;p;n;299;132;84;34;5525;264;22;242;102;204;204;64;685;88;15;35;247;86;86;200
bdd2669;cl2159;6005;NA;20070626;Convolvulus lanuginosus;France;5,71463;43,21774;p;n;179;139;84;34;5507;271;30;241;110;211;211;71;670;87;13;37;246;79;79;199
bdd2377;cl1897;6005;NA;20060609;Convolvulus lanuginosus;France;5,59208;43,21771;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2379;cl1899;6005;NA;20060609;Convolvulus lanuginosus;France;5,59207;43,2177;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2602;cl2099;6005;NA;20070530;Convolvulus lanuginosus;France;5,64975;43,21764;p;n;221;136;85;34;5564;269;26;243;106;209;209;67;667;87;14;36;243;81;81;196
bdd2779;cl2258;6005;NA;20070413;Convolvulus lanuginosus;France;5,59201;43,21762;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2595;cl2092;6005;NA;20070525;Convolvulus lanuginosus;France;5,61294;43,21759;p;n;211;136;85;34;5587;270;26;244;106;209;209;67;661;87;14;36;240;81;81;192
bdd2359;cl1880;6005;NA;20061126;Convolvulus lanuginosus;France;5,80241;43,21756;p;n;208;138;83;35;5429;268;31;237;110;209;209;72;687;88;13;37;253;80;80;206
bdd2197;cl1734;6005;NA;20081207;Convolvulus lanuginosus;France;5,69882;43,21752;p;n;262;134;84;34;5478;266;25;241;105;206;206;67;683;88;14;37;249;83;83;202
bdd2387;cl1905;6005;NA;20060427;Convolvulus lanuginosus;France;5,59335;43,21749;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2384;cl1902;6005;NA;20060427;Convolvulus lanuginosus;France;5,59333;43,21748;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2451;cl1963;6005;NA;20070713;Convolvulus lanuginosus;France;5,67116;43,21742;p;n;352;129;83;34;5507;260;20;240;100;201;201;61;696;89;16;34;250;89;89;203
bdd2798;cl2275;6005;NA;20070413;Convolvulus lanuginosus;France;5,59336;43,21741;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
bdd2788;cl2266;6005;NA;20070413;Convolvulus lanuginosus;France;5,59963;43,21736;p;n;219;136;85;34;5584;270;25;245;105;209;209;66;660;87;14;36;240;81;81;192
