site;type_bio;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y
Cirsium 2B;;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis 2B;;0;0;0;0;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crucianella angustifolia L.;;0;0;0;0,25;0,25;0;0;0;0;0;0;0;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erodium cicutarium (L.) L_Hér. subsp. cicutarium var. cicutarium;;0;0;0;0;1,416666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
galium annuel;;0;0;0;0;2,916666667;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Medicago minima (L.) L. var. minima;;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sanguisorba minor Scop. subsp. minor var. minor;;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valantia muralis L.;;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vicia 2a;;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aphyllanthes monspeliensis L.;;0;0;0;0;0;0;0;1,666666667;0;0;0;0;0;0;0;0;5,166666667;0;0;0;2,833333333;1,333333333;0,5;0;0;0;0;0;0;0
fumana 3A;;0;0;0;0;0;0;8,916666667;11,41666667;11,41666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helianthemum cf apenninum;;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Narcissus assoanus Dufour;;0;0;0;0;0;0;0;0;0,333333333;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus halepensis Mill. subsp. halepensis;;0;0;0;0;0;0;0;0,583333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quercus coccifera L.;;0;0;0;0;0;0;0,5;0;0;4,333333333;0;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rosmarinus officinalis L. subsp. officinalis;;0;0;0;0;0;0;6,583333333;5,45;10,66666667;0;12,66666667;1,166666667;0;0;6,166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coronilla juncea L. subsp. juncea;;0;0;0;0;0;0;0;0;0;0,583333333;2,916666667;0;4,916666667;0,333333333;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fumana cf ericoides;;0;0;0;0;0;0;0;0;0;2,166666667;0,916666667;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fumana laevipes (L.) Spach;;0;0;0;0;0;0;0;0;0;0;0,333333333;0;2,833333333;16;19,08333333;0;0;0;6,833333333;0,833333333;0;0;0;0;0;0;0;0;0;0
Globularia alypum L. subsp. alypum;;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;4,25;0;0;0;0;0;0;0,333333333;0,333333333;0;0;0;0;0;0;0
Lonicera cf implexa;;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Muscari neglectum Guss. ex Ten.;;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhamnus alaternus L. subsp. alaternus;;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhus cf 5B;;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sonchus \asper\""(droit)4C""";;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bromus sp5A;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Catapodium rigidum (L.) C.E.Hubb. ;;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gallium annuel ;;0;0;0;0;0;0;0;0;0;0;0;0;1,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
