id_releve	orga_fournisseur	programmes	date_releve_deb	date_releve_fin	releve_type	observateurs	insee	lieudit	comm_loc	comm_milieu	lithologie	geologie	exposition	pente	rec_total	refbiblio	page	code_perso	id_precision	x_l93	y_l93
8362313	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2018-12-02	2018-12-02	Relevé de terrain	MORVANT Yves / MICHAUD Henri / PAQUIER Thibault	83112	LA NARTETTE	bord de piste									013y	P	919300	6232570
2488815	Association INFLOVAR	Inventaire général du CBNMED	2016-05-14	2016-05-14	Relevé de terrain	MORVANT Yves	83027	LE PIN	friche olivette	olivette								001y	P	918345	6236576
616109	Réseau des botanistes amateurs du CBNMed		2013-05-22	2013-05-22	Relevé de terrain	CROZE Thomas	13028												P	910180	6237706
12069002	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	1901-01-01	1902-12-31	Bibliographie	SENNEN 	11398	""	Garigues	""						SENNEN , 1902. Herborisations aux environs de la Nouvelle (Aude) (suite). Bull. Soc. Bot. France, 45	372	""	C	695589	6202683
8015374	Agence MTDA		2015-05-19	2015-05-19	Relevé de terrain	MALLOL Sébastien	83027											0304MTDA15	P	921368	6240372
8015393	Agence MTDA		2015-05-19	2015-05-19	Relevé de terrain	MALLOL Sébastien	83027											0332MTDA15	P	920597	6239368
413823	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2012-11-01	2012-11-01	Relevé de terrain	MORVANT Yves / MICHAUD Henri	83112	ST-MARC 	BORD DE ROUTE	TALUS								373Y	P	921993	6235961
359348	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-04-22	2007-04-22	Relevé de terrain	LEJEUNE Solenne	83112	LE PIGEONNIER	proximité citerne										P	918934	6232531
2639552	Société Linnéenne de Provence		2016-06-04	2016-06-04	Relevé de terrain	PAVON Daniel	13023	JAS DE MONDON - MAOUGAVI											P	912718	6239445
1400781	Bureau d'études ECO-MED (Ecologie et Médiation)		2012-05-11	2012-05-11	Relevé de terrain	VOLANT Jérôme	13028												P	914384	6236965
359417	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-06-29	2007-06-29	Relevé de terrain	LEJEUNE Solenne	83009	ROUSTAGNON	le long de la piste DFCI Roustagnon										P	922168	6231287
