Code;Code_source;Année;Date;Nom_espèce_source;Nom_RefTax_MNHN;Pays;Region;Ville;Quartier/lieux dit;UTM;UTM1;UTM10;Latitude;Longitude;Altitude;Mode_lecture;Précision;Précision;Type_acquisition ;nom_Observateur;orga_Observateur;Nom_bdd;Auteur;Année_publication;Titre_publication;Nom_revue;confidentialité;nom_fournisseur;organisation;Indigénat_population;Nombre_individus;Surface_patch;abondance_rareté;Description;Corinne;Direct_hab;Ordre;Association;Remarque;Remarque
1367;;1987;28/05/1987;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Castillonroy;Cerca de la presa de Santa Ana;31TBG94;31TBG9940;;41,88639;0,57736;;;;1000;communication personnelle;G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Pie de cantil y matorrales.;;;;;;
1368;;1987;27/05/1987;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Castillonroy;Pie de cantil solano junto carretera Embalse Baldellou;31TBG94;31TBG9645;;41,93061;0,53951;;;;1000;communication personnelle;G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1369;;1987;06/06/1987;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Camporrells;Monte de los Martires;31TBG94;31TBG9546;;41,93935;0,52711;;;;1000;communication personnelle;P. & G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1370;;2001;30/12/1899;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Fonz;Urria;31TBG75;31TBG7753;;41,99745;0,30755;;;;1000;communication personnelle;;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Romerales y pinares de Pinus halepensis.;;;;;;
1371;;2001;30/12/1899;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Fonz;;31TBG75;31TBG7454;;42,00559;0,27098;;;;1000;communication personnelle;;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Yesos.;;;;;;
1372;;1993;15/05/1993;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Fonz;Barranco de las Carboneras;31TBG75;31TBG7754;;42,00644;0,30717;;;;1000;communication personnelle;J.V. FERRANDEZ;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Romeral-tomillar en suelo seco.;;;;;;
1373;;2001;30/12/1899;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Fonz;Valdelamella;31TBG75;31TBG7555;;42,01487;0,28266;;;;1000;communication personnelle;;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Cantera abandonada, rocas calizas.;;;;;;
1374;;2001;30/12/1899;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Fonz;Ojo de la Fuente;31TBG75;31TBG7556;;42,02387;0,28228;;;;1000;communication personnelle;;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Pedregal soleado en calizas.;;;;;;
1375;;2001;30/12/1899;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Fonz;Bajo Santacun;31TBG75;31TBG7557;;42,03286;0,28189;;;;1000;communication personnelle;;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Pedregales calizos soleados en ambiente de pinar de Pinus halepensis c;;;;;;
1376;;2010;19/06/2010;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Bierge;Camino de las Fuentes del Puntillo;30TYM47;30TYM4074;;42,18135;-0,09392;;;;1000;communication personnelle;JOSE VICENTE FERRANDEZ PALACIO;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Coscojar con J. oxycedrus. Exp. W. Pie de los paredones de conglomerad;;;;;;
